frame,time,word
0,0.0,None
1,0.033366700033366704,None
2,0.06673340006673341,None
3,0.1001001001001001,None
4,0.13346680013346682,None
5,0.16683350016683351,None
6,0.2002002002002002,None
7,0.2335669002335669,None
8,0.26693360026693363,None
9,0.3003003003003003,None
10,0.33366700033366703,None
11,0.3670337003670337,None
12,0.4004004004004004,None
13,0.4337671004337671,None
14,0.4671338004671338,None
15,0.5005005005005005,None
16,0.5338672005338673,None
17,0.5672339005672339,None
18,0.6006006006006006,None
19,0.6339673006339673,None
20,0.6673340006673341,None
21,0.7007007007007007,None
22,0.7340674007340674,None
23,0.7674341007674341,None
24,0.8008008008008008,None
25,0.8341675008341676,None
26,0.8675342008675342,None
27,0.9009009009009009,None
28,0.9342676009342676,None
29,0.9676343009676344,None
30,1.001001001001001,None
31,1.0343677010343677,None
32,1.0677344010677345,None
33,1.1011011011011012,None
34,1.1344678011344678,None
35,1.1678345011678346,None
36,1.2012012012012012,None
37,1.234567901234568,None
38,1.2679346012679347,None
39,1.3013013013013013,None
40,1.3346680013346681,None
41,1.3680347013680347,None
42,1.4014014014014013,None
43,1.4347681014347682,None
44,1.4681348014681348,None
45,1.5015015015015016,None
46,1.5348682015348682,None
47,1.5682349015682349,None
48,1.6016016016016017,None
49,1.6349683016349683,None
50,1.6683350016683351,None
51,1.7017017017017018,None
52,1.7350684017350684,None
53,1.7684351017684352,None
54,1.8018018018018018,None
55,1.8351685018351687,None
56,1.8685352018685353,None
57,1.901901901901902,None
58,1.9352686019352687,None
59,1.9686353019686353,None
60,2.002002002002002,None
61,2.0353687020353686,None
62,2.0687354020687354,None
63,2.1021021021021022,None
64,2.135468802135469,None
65,2.1688355021688355,None
66,2.2022022022022023,None
67,2.235568902235569,None
68,2.2689356022689355,None
69,2.3023023023023024,None
70,2.335669002335669,None
71,2.3690357023690356,None
72,2.4024024024024024,None
73,2.4357691024357693,None
74,2.469135802469136,None
75,2.5025025025025025,None
76,2.5358692025358693,None
77,2.569235902569236,None
78,2.6026026026026026,None
79,2.6359693026359694,None
80,2.6693360026693362,None
81,2.7027027027027026,None
82,2.7360694027360695,None
83,2.7694361027694363,None
84,2.8028028028028027,None
85,2.8361695028361695,None
86,2.8695362028695364,None
87,2.902902902902903,None
88,2.9362696029362696,None
89,2.9696363029696364,None
90,3.0030030030030033,None
91,3.0363697030363697,None
92,3.0697364030697365,None
93,3.1031031031031033,None
94,3.1364698031364697,None
95,3.1698365031698366,None
96,3.2032032032032034,None
97,3.2365699032365702,None
98,3.2699366032699366,None
99,3.3033033033033035,None
100,3.3366700033366703,None
101,3.3700367033700367,None
102,3.4034034034034035,None
103,3.4367701034367704,None
104,3.4701368034701368,None
105,3.5035035035035036,None
106,3.5368702035368704,None
107,3.570236903570237,None
108,3.6036036036036037,None
109,3.6369703036369705,None
110,3.6703370036703373,None
111,3.7037037037037037,None
112,3.7370704037370706,None
113,3.7704371037704374,None
114,3.803803803803804,None
115,3.8371705038371706,None
116,3.8705372038705375,None
117,3.903903903903904,None
118,3.9372706039372707,None
119,3.9706373039706375,None
120,4.004004004004004,None
121,4.037370704037371,None
122,4.070737404070737,None
123,4.104104104104104,None
124,4.137470804137471,None
125,4.170837504170838,None
126,4.2042042042042045,None
127,4.237570904237571,None
128,4.270937604270938,None
129,4.3043043043043046,None
130,4.337671004337671,None
131,4.371037704371038,None
132,4.404404404404405,None
133,4.437771104437771,None
134,4.471137804471138,None
135,4.504504504504505,None
136,4.537871204537871,None
137,4.571237904571238,None
138,4.604604604604605,None
139,4.637971304637971,None
140,4.671338004671338,None
141,4.704704704704705,None
142,4.738071404738071,None
143,4.7714381047714385,None
144,4.804804804804805,None
145,4.838171504838171,None
146,4.8715382048715385,None
147,4.904904904904905,None
148,4.938271604938272,None
149,4.971638304971639,None
150,5.005005005005005,None
151,5.038371705038372,None
152,5.071738405071739,None
153,5.105105105105105,None
154,5.138471805138472,None
155,5.171838505171839,None
156,5.205205205205205,None
157,5.238571905238572,None
158,5.271938605271939,None
159,5.305305305305305,None
160,5.3386720053386725,None
161,5.372038705372039,None
162,5.405405405405405,None
163,5.4387721054387725,None
164,5.472138805472139,None
165,5.505505505505505,None
166,5.538872205538873,None
167,5.572238905572239,None
168,5.605605605605605,None
169,5.638972305638973,None
170,5.672339005672339,None
171,5.705705705705706,None
172,5.739072405739073,None
173,5.772439105772439,None
174,5.805805805805806,None
175,5.839172505839173,None
176,5.872539205872539,None
177,5.9059059059059065,None
178,5.939272605939273,None
179,5.972639305972639,None
180,6.0060060060060065,None
181,6.039372706039373,None
182,6.072739406072739,None
183,6.106106106106107,None
184,6.139472806139473,None
185,6.172839506172839,None
186,6.206206206206207,None
187,6.239572906239573,None
188,6.2729396062729395,None
189,6.306306306306307,None
190,6.339673006339673,None
191,6.3730397063730395,None
192,6.406406406406407,None
193,6.439773106439773,None
194,6.4731398064731405,None
195,6.506506506506507,None
196,6.539873206539873,None
197,6.5732399065732405,None
198,6.606606606606607,None
199,6.639973306639973,None
200,6.673340006673341,None
201,6.706706706706707,None
202,6.740073406740073,None
203,6.773440106773441,None
204,6.806806806806807,None
205,6.8401735068401734,None
206,6.873540206873541,None
207,6.906906906906907,None
208,6.9402736069402735,None
209,6.973640306973641,None
210,7.007007007007007,None
211,7.040373707040374,None
212,7.073740407073741,None
213,7.107107107107107,None
214,7.140473807140474,None
215,7.173840507173841,None
216,7.207207207207207,None
217,7.240573907240575,None
218,7.273940607273941,None
219,7.307307307307307,None
220,7.340674007340675,None
221,7.374040707374041,None
222,7.407407407407407,None
223,7.440774107440775,None
224,7.474140807474141,None
225,7.5075075075075075,None
226,7.540874207540875,None
227,7.574240907574241,None
228,7.607607607607608,None
229,7.640974307640975,None
230,7.674341007674341,None
231,7.707707707707708,None
232,7.741074407741075,None
233,7.774441107774441,None
234,7.807807807807808,None
235,7.841174507841175,None
236,7.874541207874541,None
237,7.907907907907909,None
238,7.941274607941275,None
239,7.974641307974641,None
240,8.008008008008009,None
241,8.041374708041374,None
242,8.074741408074741,None
243,8.108108108108109,None
244,8.141474808141474,None
245,8.174841508174842,None
246,8.208208208208209,None
247,8.241574908241574,None
248,8.274941608274942,None
249,8.308308308308309,None
250,8.341675008341676,None
251,8.375041708375042,None
252,8.408408408408409,None
253,8.441775108441776,None
254,8.475141808475142,None
255,8.508508508508509,None
256,8.541875208541876,None
257,8.575241908575242,None
258,8.608608608608609,None
259,8.641975308641976,None
260,8.675342008675342,None
261,8.70870870870871,None
262,8.742075408742076,None
263,8.775442108775442,None
264,8.80880880880881,None
265,8.842175508842177,None
266,8.875542208875542,None
267,8.90890890890891,None
268,8.942275608942277,None
269,8.975642308975642,None
270,9.00900900900901,None
271,9.042375709042377,None
272,9.075742409075742,None
273,9.10910910910911,None
274,9.142475809142477,None
275,9.175842509175842,None
276,9.20920920920921,None
277,9.242575909242577,None
278,9.275942609275942,None
279,9.30930930930931,None
280,9.342676009342677,None
281,9.376042709376042,None
282,9.40940940940941,None
283,9.442776109442777,None
284,9.476142809476142,None
285,9.50950950950951,None
286,9.542876209542877,None
287,9.576242909576242,None
288,9.60960960960961,None
289,9.642976309642977,None
290,9.676343009676343,None
291,9.70970970970971,None
292,9.743076409743077,None
293,9.776443109776443,None
294,9.80980980980981,None
295,9.843176509843177,None
296,9.876543209876544,None
297,9.90990990990991,None
298,9.943276609943277,None
299,9.976643309976645,None
300,10.01001001001001,None
301,10.043376710043377,None
302,10.076743410076745,None
303,10.11011011011011,None
304,10.143476810143477,None
305,10.176843510176845,None
306,10.21021021021021,None
307,10.243576910243577,None
308,10.276943610276945,None
309,10.31031031031031,None
310,10.343677010343677,None
311,10.377043710377045,None
312,10.41041041041041,None
313,10.443777110443778,None
314,10.477143810477145,None
315,10.51051051051051,None
316,10.543877210543878,None
317,10.577243910577245,None
318,10.61061061061061,None
319,10.643977310643978,None
320,10.677344010677345,None
321,10.71071071071071,None
322,10.744077410744078,None
323,10.777444110777445,None
324,10.81081081081081,None
325,10.844177510844178,None
326,10.877544210877545,None
327,10.91091091091091,None
328,10.944277610944278,None
329,10.977644310977645,None
330,11.01101101101101,None
331,11.044377711044378,None
332,11.077744411077745,None
333,11.11111111111111,None
334,11.144477811144478,None
335,11.177844511177845,None
336,11.21121121121121,None
337,11.244577911244578,None
338,11.277944611277945,None
339,11.311311311311313,None
340,11.344678011344678,None
341,11.378044711378045,None
342,11.411411411411413,None
343,11.444778111444778,None
344,11.478144811478145,None
345,11.511511511511513,None
346,11.544878211544878,None
347,11.578244911578246,None
348,11.611611611611613,the
349,11.644978311644978,the
350,11.678345011678346,the
351,11.711711711711713,the
352,11.745078411745078,the
353,11.778445111778446,following
354,11.811811811811813,following
355,11.845178511845178,following
356,11.878545211878546,following
357,11.911911911911913,following
358,11.945278611945279,following
359,11.978645311978646,following
360,12.012012012012013,following
361,12.045378712045379,following
362,12.078745412078746,following
363,12.112112112112113,following
364,12.145478812145479,following
365,12.178845512178846,following
366,12.212212212212213,takes
367,12.245578912245579,takes
368,12.278945612278946,takes
369,12.312312312312313,takes
370,12.345679012345679,takes
371,12.379045712379046,takes
372,12.412412412412413,place
373,12.445779112445779,place
374,12.479145812479146,place
375,12.512512512512513,place
376,12.545879212545879,place
377,12.579245912579246,place
378,12.612612612612613,place
379,12.645979312645979,place
380,12.679346012679346,place
381,12.712712712712714,between
382,12.746079412746079,between
383,12.779446112779446,between
384,12.812812812812814,between
385,12.84617951284618,between
386,12.879546212879546,between
387,12.912912912912914,between
388,12.946279612946281,between
389,12.979646312979646,between
390,13.013013013013014,between
391,13.046379713046381,between
392,13.079746413079747,between
393,13.113113113113114,six
394,13.146479813146481,six
395,13.179846513179847,six
396,13.213213213213214,six
397,13.246579913246581,six
398,13.279946613279947,six
399,13.313313313313314,six
400,13.346680013346681,six
401,13.380046713380047,a
402,13.413413413413414,a
403,13.446780113446781,m
404,13.480146813480147,m
405,13.513513513513514,m
406,13.546880213546881,m
407,13.580246913580247,m
408,13.613613613613614,m
409,13.646980313646981,m
410,13.680347013680347,m
411,13.713713713713714,m
412,13.747080413747081,m
413,13.780447113780447,m
414,13.813813813813814,m
415,13.847180513847182,None
416,13.880547213880547,None
417,13.913913913913914,None
418,13.947280613947282,None
419,13.980647313980647,None
420,14.014014014014014,None
421,14.047380714047382,None
422,14.080747414080747,None
423,14.114114114114114,None
424,14.147480814147482,None
425,14.180847514180847,and
426,14.214214214214214,and
427,14.247580914247582,and
428,14.280947614280947,seven
429,14.314314314314315,seven
430,14.347681014347682,seven
431,14.38104771438105,seven
432,14.414414414414415,seven
433,14.447781114447782,seven
434,14.48114781448115,seven
435,14.514514514514515,seven
436,14.547881214547882,seven
437,14.58124791458125,seven
438,14.614614614614615,seven
439,14.647981314647982,seven
440,14.68134801468135,seven
441,14.714714714714715,m
442,14.748081414748082,m
443,14.78144811478145,m
444,14.814814814814815,m
445,14.848181514848182,m
446,14.88154821488155,m
447,14.914914914914915,m
448,14.948281614948282,m
449,14.98164831498165,m
450,15.015015015015015,m
451,15.048381715048382,m
452,15.08174841508175,m
453,15.115115115115115,None
454,15.148481815148482,None
455,15.18184851518185,None
456,15.215215215215215,None
457,15.248581915248582,None
458,15.28194861528195,None
459,15.315315315315315,None
460,15.348682015348682,None
461,15.38204871538205,None
462,15.415415415415415,None
463,15.448782115448783,None
464,15.48214881548215,None
465,15.515515515515515,None
466,15.548882215548883,None
467,15.58224891558225,None
468,15.615615615615615,None
469,15.648982315648983,None
470,15.68234901568235,None
471,15.715715715715715,None
472,15.749082415749083,None
473,15.78244911578245,None
474,15.815815815815817,None
475,15.849182515849183,None
476,15.88254921588255,None
477,15.915915915915917,None
478,15.949282615949283,None
479,15.98264931598265,None
480,16.016016016016017,None
481,16.049382716049383,None
482,16.08274941608275,None
483,16.116116116116117,None
484,16.149482816149483,None
485,16.18284951618285,None
486,16.216216216216218,None
487,16.249582916249583,None
488,16.28294961628295,None
489,16.316316316316318,None
490,16.349683016349683,None
491,16.38304971638305,None
492,16.416416416416418,None
493,16.449783116449783,None
494,16.48314981648315,None
495,16.516516516516518,None
496,16.549883216549883,None
497,16.583249916583252,None
498,16.616616616616618,None
499,16.649983316649983,None
500,16.683350016683352,None
501,16.716716716716718,None
502,16.750083416750083,None
503,16.783450116783452,None
504,16.816816816816818,america
505,16.850183516850183,america
506,16.883550216883553,america
507,16.916916916916918,america
508,16.950283616950284,america
509,16.983650316983653,america
510,17.017017017017018,america
511,17.050383717050384,america
512,17.083750417083753,america
513,17.117117117117118,america
514,17.150483817150484,america
515,17.183850517183853,america
516,17.217217217217218,america
517,17.250583917250584,america
518,17.283950617283953,america
519,17.31731731731732,america
520,17.350684017350684,america
521,17.384050717384053,has
522,17.41741741741742,has
523,17.450784117450784,been
524,17.484150817484153,been
525,17.51751751751752,been
526,17.550884217550884,been
527,17.584250917584253,None
528,17.61761761761762,None
529,17.650984317650984,None
530,17.684351017684353,victimized
531,17.71771771771772,victimized
532,17.751084417751084,victimized
533,17.784451117784453,victimized
534,17.81781781781782,victimized
535,17.851184517851184,victimized
536,17.884551217884553,victimized
537,17.91791791791792,victimized
538,17.951284617951284,victimized
539,17.984651317984653,victimized
540,18.01801801801802,victimized
541,18.051384718051384,victimized
542,18.084751418084753,victimized
543,18.11811811811812,victimized
544,18.151484818151484,victimized
545,18.184851518184853,again
546,18.21821821821822,again
547,18.251584918251584,again
548,18.284951618284953,again
549,18.31831831831832,again
550,18.351685018351684,again
551,18.385051718385053,again
552,18.41841841841842,None
553,18.451785118451784,None
554,18.485151818485154,None
555,18.51851851851852,None
556,18.551885218551885,None
557,18.585251918585254,None
558,18.61861861861862,None
559,18.651985318651985,None
560,18.685352018685354,None
561,18.71871871871872,None
562,18.752085418752085,None
563,18.785452118785454,None
564,18.81881881881882,None
565,18.852185518852185,None
566,18.885552218885554,None
567,18.91891891891892,None
568,18.952285618952285,None
569,18.985652318985654,None
570,19.01901901901902,last
571,19.052385719052385,last
572,19.085752419085754,last
573,19.11911911911912,last
574,19.152485819152485,last
575,19.185852519185854,last
576,19.21921921921922,last
577,19.252585919252585,last
578,19.285952619285954,night's
579,19.31931931931932,night's
580,19.352686019352685,night's
581,19.386052719386054,night's
582,19.41941941941942,night's
583,19.452786119452785,night's
584,19.486152819486154,night's
585,19.51951951951952,night's
586,19.552886219552885,terrorist
587,19.586252919586254,terrorist
588,19.61961961961962,terrorist
589,19.65298631965299,terrorist
590,19.686353019686354,terrorist
591,19.71971971971972,terrorist
592,19.75308641975309,terrorist
593,19.786453119786454,terrorist
594,19.81981981981982,terrorist
595,19.85318651985319,terrorist
596,19.886553219886554,terrorist
597,19.91991991991992,terrorist
598,19.95328661995329,attack
599,19.986653319986655,attack
600,20.02002002002002,attack
601,20.05338672005339,attack
602,20.086753420086755,attack
603,20.12012012012012,attack
604,20.15348682015349,attack
605,20.186853520186855,attack
606,20.22022022022022,attack
607,20.25358692025359,attack
608,20.286953620286955,attack
609,20.32032032032032,attack
610,20.35368702035369,in
611,20.387053720387055,in
612,20.42042042042042,in
613,20.45378712045379,in
614,20.487153820487155,san
615,20.52052052052052,san
616,20.55388722055389,san
617,20.587253920587255,san
618,20.62062062062062,san
619,20.65398732065399,san
620,20.687354020687355,antonio
621,20.72072072072072,antonio
622,20.75408742075409,antonio
623,20.787454120787455,antonio
624,20.82082082082082,antonio
625,20.85418752085419,antonio
626,20.887554220887555,antonio
627,20.92092092092092,antonio
628,20.95428762095429,antonio
629,20.987654320987655,antonio
630,21.02102102102102,antonio
631,21.05438772105439,antonio
632,21.087754421087755,antonio
633,21.12112112112112,antonio
634,21.15448782115449,antonio
635,21.187854521187855,antonio
636,21.22122122122122,antonio
637,21.25458792125459,is
638,21.287954621287955,is
639,21.32132132132132,is
640,21.35468802135469,now
641,21.388054721388055,now
642,21.42142142142142,now
643,21.45478812145479,the
644,21.488154821488155,the
645,21.52152152152152,the
646,21.55488822155489,latest
647,21.588254921588256,latest
648,21.62162162162162,latest
649,21.65498832165499,latest
650,21.688355021688356,latest
651,21.72172172172172,latest
652,21.75508842175509,latest
653,21.788455121788456,latest
654,21.82182182182182,latest
655,21.85518852185519,latest
656,21.888555221888556,latest
657,21.92192192192192,latest
658,21.95528862195529,latest
659,21.988655321988656,latest
660,22.02202202202202,latest
661,22.05538872205539,latest
662,22.088755422088756,in
663,22.12212212212212,in
664,22.15548882215549,in
665,22.188855522188856,in
666,22.22222222222222,this
667,22.25558892225559,this
668,22.288955622288956,this
669,22.32232232232232,this
670,22.35568902235569,this
671,22.389055722389056,this
672,22.42242242242242,series
673,22.45578912245579,series
674,22.489155822489156,series
675,22.52252252252252,series
676,22.55588922255589,series
677,22.589255922589256,series
678,22.622622622622625,series
679,22.65598932265599,of
680,22.689356022689356,of
681,22.722722722722725,of
682,22.75608942275609,of
683,22.789456122789456,bombings
684,22.822822822822825,bombings
685,22.85618952285619,bombings
686,22.889556222889556,bombings
687,22.922922922922925,bombings
688,22.95628962295629,bombings
689,22.989656322989656,bombings
690,23.023023023023026,bombings
691,23.05638972305639,bombings
692,23.089756423089757,None
693,23.123123123123126,None
694,23.15648982315649,None
695,23.189856523189857,None
696,23.223223223223226,None
697,23.25658992325659,None
698,23.289956623289957,None
699,23.323323323323326,None
700,23.35669002335669,None
701,23.390056723390057,None
702,23.423423423423426,None
703,23.45679012345679,None
704,23.490156823490157,that
705,23.523523523523526,that
706,23.55689022355689,that
707,23.590256923590257,began
708,23.623623623623626,began
709,23.65699032365699,began
710,23.690357023690357,began
711,23.723723723723726,began
